"id","company","repository","stage","round_size","year","month","lead_investor","has_repo","has_github","github_name","date","link"
"432","Sysdig","https://github.com/draios/sysdig","D","188.00","2021","4","Premji Invest","1","1","draios/sysdig","2021-04-01 00:00:00","https://sysdig.com/press-releases/sysdig-raises-188m-at-a-valuation-of-1-19b-to-secure-modern-cloud-applications/"
"433","Sysdig","https://github.com/draios/sysdig","G","350.00","2021","12","Permira Advisers","1","1","draios/sysdig","2021-12-01 00:00:00","https://sysdig.com/blog/ceo-suresh-on-sysdig-series-g-funding/"
"434","Sysdig","https://github.com/draios/sysdig","E","70.00","2020","1","Insight Partners","1","1","draios/sysdig","2020-01-01 00:00:00","https://sysdig.com/press-releases/sysdig-closes-70m-series-e-funding/"
"435","Tailscale","https://github.com/WireGuard","Seed","3.00","2020","4","Heavybit","0","1","WireGuard","2020-04-01 00:00:00","https://tailscale.com/blog/tailscale-launch/"
"436","Tailscale","https://github.com/WireGuard","B","100.00","2022","5","CRV","0","1","WireGuard","2022-05-01 00:00:00","https://tailscale.com/blog/series-b/"
"437","Tailscale","https://github.com/WireGuard","A","12.00","2020","11","Accel","0","1","WireGuard","2020-11-01 00:00:00","https://tailscale.com/blog/the-next-milestone"
"438","Tea","https://github.com/teaxyz","Seed","8.00","2022","3","Binance L _abs","0","1","teaxyz","2022-03-01 00:00:00","https://www.businesswire.com/news/home/20220323005603/en/Tea-Raises-8-Million-Led-by-Binance-Labs-to-Create-New-Open-Source-Software-on-the-Blockchain"
"439","Tecton","https://github.com/feast-dev/feast","C","199.00","2022","7","Kleiner Perkins","1","1","feast-dev/feast","2022-07-01 00:00:00","https://www.tecton.ai/blog/tecton-raises-100m-in-series-c-funding/"
"440","Tecton","https://github.com/feast-dev/feast","B","35.00","2020","12","Andreessen Horowitz","1","1","feast-dev/feast","2020-12-01 00:00:00","https://www.tecton.ai/blog/feature-store-in-general-availability-series-b-funding/"
"441","Teleport","https://github.com/gravitational/teleport","B","30.00","2021","8","Kleiner Perkins","1","1","gravitational/teleport","2021-08-01 00:00:00","https://goteleport.com/blog/series-b/"
"442","Teleport","https://github.com/gravitational/teleport","C","110.00","2022","5","Bessemer","1","1","gravitational/teleport","2022-05-01 00:00:00","https://goteleport.com/blog/series-c/"
"443","Temporal","https://github.com/temporalio/temporal","A","18.80","2020","10","Sequoia Capital","1","1","temporalio/temporal","2020-10-01 00:00:00","https://docs.temporal.io/blog/funding-announcement/"
"444","Temporal","https://github.com/temporalio/temporal","B","103.00","2022","2","Index Ventures","1","1","temporalio/temporal","2022-02-01 00:00:00","https://docs.temporal.io/blog/series-b-announcement-open-letter/"
"445","Temporal","https://github.com/temporalio/temporal","Seed","6.80","2020","10","Amplify Partners","1","1","temporalio/temporal","2020-10-01 00:00:00","https://docs.temporal.io/blog/funding-announcement/"
"446","Tenstorrent","RISC-V","C","200.00","2021","5","Fidelity","0","0","","2021-05-01 00:00:00","https://tenstorrent.com/research/tenstorrent-raises-over-200-million-at-1-billion-valuation-to-create-programmable-high-performance-ai-computers/"
"447","Terminus","https://github.com/terminusdb/terminusdb","Seed","4.20","2021","3","Volita Ventures","1","1","terminusdb/terminusdb","2021-03-01 00:00:00","https://www.irishtimes.com/business/technology/trinity-college-spinout-terminusdb-secures-3-6m-in-investment-1.4510067"
"448","Tetrate","https://github.com/istio/istio","B","40.00","2021","3","Sapphire Ventures","1","1","istio/istio","2021-03-01 00:00:00","https://www.businesswire.com/news/home/20210310005295/en/Tetrate-Started-by-Istio-Founders-Raises-40-Million-to-Help-Enterprises-With-Cloud-Native-Application-Networking-Platform"
"449","Theatre.js","https://github.com/theatre-js/theatre","Seed","4.50","2022","1","oSS Capital","1","1","theatre-js/theatre","2022-01-01 00:00:00","https://blog.theatrejs.com/announcing-45m-seed-for-theatrejs"
"450","Tibit","http://tibitcom.com/","C","39.00","2022","7","Liberty Global","0","0","","2022-07-01 00:00:00","https://www.lightwaveonline.com/business/companies/article/14279700/tibit-communications-lands-30-million-in-series-c-funding"
"451","Tigris Data","https://github.com/tigrisdata","Seed","8.00","2021","12","Basis Set","0","1","tigrisdata","2021-12-01 00:00:00","https://blog.tigrisdata.com/hello-world"
"452","TileDB","https://github.com/TileDB-Inc/TileDB","A","15.00","2020","7","Two Bear Capital","1","1","TileDB-Inc/TileDB","2020-07-01 00:00:00","https://tiledb.com/blog/tiledb-closes-15m-series-a-for-industry-s-first-universal-data-engine-2020-07-14"
"453","Timecho","https://github.com/apache/iotdb","Seed","10.00","2022","7","Sequoia Capital","1","1","apache/iotdb","2022-07-01 00:00:00","https://www.datanami.com/this-just-in/timecho-founded-by-the-creators-of-apache-iotdb-raises-over-10m/"
"454","Timescale","https://github.com/timescale/timescaledb","C","110.00","2022","2","Tiger Global","1","1","timescale/timescaledb","2022-02-01 00:00:00","https://www.timescale.com/blog/year-of-the-tiger-110-million-to-build-the-future-of-data-for-developers-worldwide/"
"455","Timescale","https://github.com/timescale/timescaledb","B","40.00","2021","5","Redpoint Ventures","1","1","timescale/timescaledb","2021-05-01 00:00:00","https://blog.timescale.com/blog/40-million-to-help-developers-measure-everything-that-matters/"
"456","TONIC","https://github.com/TonicAI","B","35.00","2021","10","Insight Partners","0","1","TonicAI","2021-10-01 00:00:00","https://www.tonic.ai/blog/we-raised-a-35m-series-b-heres-whats-next-for-fake-data"
"457","ToolJet","https://github.com/ToolJet/ToolJet","Seed","1.60","2022","1","Nexus Venture Partners","1","1","ToolJet/ToolJet","2022-01-01 00:00:00","https://blog.tooljet.com/raising-vc-funding-for-open-source-project/"
"458","Treeverse","https://github.com/treeverse/lakeFS","A","23.00","2021","8","Dell Technologies Capital","1","1","treeverse/lakeFS","2021-08-01 00:00:00","https://venturebeat.com/2021/07/28/treeverse-raises-23m-to-bring-git-like-version-control-to-data-lakes/"
"459","TruffleSecurity","https://github.com/trufflesecurity/trufflehog","A","14.00","2021","12","Andreessen Horowitz","1","1","trufflesecurity/truffleHog","2021-12-01 00:00:00","https://trufflesecurity.com/blog/truffle-security-raises-14-million-lead-by-a16z"
"460","Tyk","https://github.com/TykTechnologies","Growth","35.00","2021","9","Scottish Equity Partners","0","1","TykTechnologies","2021-09-01 00:00:00","https://tyk.io/blog/tyk-raises-35m-to-connect-every-system-in-the-world/"
"461","Umami","https://github.com/umami-software/umami","Seed","1.50","2022","7","Race Capital","1","1","umami-software/umami","2022-07-01 00:00:00","https://twitter.com/COSS_Community/status/1549982998291877888"
"462","Umbrel","https://github.com/getumbrel","Seed","3.00","2021","10","OSS Capital","0","1","getumbrel","2021-10-01 00:00:00","https://blog.getumbrel.com/seed-6d09aa08f8ac?gi=9b2ec89ead5"
"463","Unfolded","https://github.com/UnfoldedInc","Seed","6.00","2021","1","S28, IA Ventures","0","1","UnfoldedInc","2021-01-01 00:00:00","https://techcrunch.com/2021/01/26/ex-uber-team-raises-6m-seed-for-geospatial-analytics-platform-unfolded-ai/"
"464","Union.ai","https://github.com/flyteorg","Seed","10.00","2022","4","NEA","0","1","flyteorg","2022-04-01 00:00:00","https://techcrunch.com/2022/04/12/union-ai-raises-10m-to-simplify-ai-and-ml-workflow-orchestration/"
"465","Unleash","https://github.com/Unleash/unleash","A","14.00","2022","3","Spark Capital","1","1","Unleash/unleash","2022-03-01 00:00:00","https://www.getunleash.io/blog/unleash-raises-a-14m-series-a-to-make-feature-management-available-open-source"
"466","Unleash","https://github.com/Unleash/unleash","Seed","2.50","2021","9","Firstminute Capital, Frontline Ventures","1","1","Unleash/unleash","2021-09-01 00:00:00","https://venturebeat.com/2021/09/03/how-unleash-is-using-open-source-feature-management-to-make-devs-more-efficient/"
"467","Upbound","https://github.com/crossplane/crossplane","B","60.00","2021","12","Altimeter","1","1","crossplane/crossplane","2021-12-01 00:00:00","https://blog.upbound.io/upbound-raises-60m-in-funding-to-advance-its-universal-cloud-platform/"
"468","Upstash","https://github.com/apache/kafka","Seed","1.90","2022","3","Mango Capital","1","1","apache/kafka","2022-03-01 00:00:00","https://techcrunch.com/2022/03/17/upstash-snags-1-9m-seed-to-build-serverless-data-platform-for-redis-and-kafka/"
"469","Uptycs","https://github.com/osquery/osquery","B","30.00","2020","6","Sapphire Ventures","1","1","osquery/osquery","2020-06-01 00:00:00","https://www.uptycs.com/blog/uptycs-series-b-funding"
"470","Uptycs","https://github.com/osquery/osquery","C","50.00","2021","5","Norwest","1","1","osquery/osquery","2021-05-01 00:00:00","https://www.uptycs.com/blog/uptycs-announces-series-c-funding"
"471","Ursa Computing","https://github.com/ursa-labs","Seed","4.90","2020","12","GV","0","1","ursa-labs","2020-12-01 00:00:00","https://ursalabs.org/blog/ursa-computing/"
"472","Vendia","https://github.com/vendia/serverless-express","A","15.50","2021","2","Canvas Ventures","1","1","vendia/serverless-express","2021-02-01 00:00:00","https://www.vendia.net/blog/series-a-announcement"
"473","Ventana Micro Systems","RISC-V","B","38.00","2021","9","Dr. Sehat Sutardja, Weili Dai","0","0","","2021-09-01 00:00:00","https://www.businesswire.com/news/home/20210901005249/en/Ventana-Micro-Systems-Inc.-the-RISC-V-Performance-Leader-Raises-38-Million-in-Series-B-Funding"
"474","Vercel","https://github.com/vercel/next.js","B","40.00","2020","12","GV","1","1","vercel/next.js","2020-12-01 00:00:00","https://vercel.com/blog/series-b-40m-to-build-the-next-web"
"475","Vercel","https://github.com/vercel/next.js","D","150.00","2021","11","GGV Capital","1","1","vercel/next.js","2021-11-01 00:00:00","https://vercel.com/blog/vercel-funding-series-d-and-valuation"
"476","Vercel","https://github.com/vercel/next.js","C","102.00","2021","6","Bedrock","1","1","vercel/next.js","2021-06-01 00:00:00","https://vercel.com/blog/series-c-102m-continue-building-the-next-web"
"477","Vercel","https://github.com/vercel/next.js","A","21.00","2020","4","Accel","1","1","vercel/next.js","2020-04-01 00:00:00","https://vercel.com/blog/zeit-is-now-vercel"
"478","VEsoft","https://github.com/vesoft-inc/nebula","A","10.00","2020","12","Source Code Capital","1","1","vesoft-inc/nebula","2020-12-01 00:00:00","https://www.prweb.com/releases/nebula_graph_database_secures_10_million_vc_funding_in_new_round/prweb17604322.htm"
"479","VEsoft","https://github.com/vesoft-inc/nebula","Seed","8.00","2020","6","Redpoint Ventures","1","1","vesoft-inc/nebula","2020-06-01 00:00:00","https://nebula-graph.io/posts/nebula-graph-raises-8-million-dollars-in-series-pre-a-funding/"
"480","vFunction","Java","A","26.00","2021","10","Zeev Ventures","0","0","","2021-10-01 00:00:00","https://vfunction.com/newsroom/vfunction-raises-26m-in-series-a-funding-to-expand-growth-and-accelerate-app-modernization-for-the-enterprise-market/"
"481","VIAM","https://github.com/viamrobotics","Seed","12.00","2021","6","USV","0","1","viamrobotics","2021-06-01 00:00:00","http://www.eliothorowitz.com/blog/2021/06/29/viams-seed-round/"
"482","VIAM","https://github.com/viamrobotics","A","30.00","2022","2","Tiger Global","0","1","viamrobotics","2022-02-01 00:00:00","https://www.prnewswire.com/news-releases/viam-announces-30-million-series-a-funding-round-to-scale-novel-robotics-platform-301471988.html"
"483","VISS","https://www.nature.com/articles/d41586-022-01901-x","A","49.00","2022","7","Schmidt Futures","0","0","","2022-07-01 00:00:00","https://www.nature.com/articles/d41586-022-01901-x"
"484","Voltron Data","https://github.com/apache/arrow","A","88.00","2022","2","Walden Catalyst","1","1","apache/arrow","2022-02-01 00:00:00","https://voltrondata.com/news/fundinglaunch/"
"485","Voltron Data","https://github.com/apache/arrow","Seed","22.00","2022","2","Walden Catalyst","1","1","apache/arrow","2022-02-01 00:00:00","https://voltrondata.com/news/fundinglaunch/"
"486","Vue Storefront","https://github.com/vuestorefront/vue-storefront","Seed","1.50","2021","1","SMOK Ventures, Movens VC","1","1","vuestorefront/vue-storefront","2021-01-01 00:00:00","https://www.vuestorefront.io/blog/vue-storefront-raises-1-5m-to-turn-the-fastest-growing-open-source-ecommerce-project-into-a-business"
"487","Vue Storefront","https://github.com/vuestorefront/vue-storefront","A","17.40","2021","10","Creandum","1","1","vuestorefront/vue-storefront","2021-10-01 00:00:00","https://www.vuestorefront.io/blog/vue-storefront-closes-17-4-million-series-a-financing"
"488","W4 Games","https://github.com/godotengine/godot","Seed","8.50","2022","8","osS Capital","1","1","godotengine/godot","2022-08-01 00:00:00","https://techcrunch.com/2022/08/19/how-w4-plans-to-commercialize-the-godot-game-engine-by-following-red-hats-playbook/"
"489","Wasmer","https://github.com/wasmerio/wasmer","Seed","2.00","2021","1","oSS Capital/ Speedinvest","1","1","wasmerio/wasmer","2021-01-01 00:00:00","https://medium.com/speedinvest/the-next-generation-of-cloud-computing-investing-in-wasmer-768c9aac5922"
"490","Wasp","https://github.com/wasp-lang/wasp","Seed","1.50","2021","10","Lunar Ventures, HV Capital","1","1","wasp-lang/wasp","2021-10-01 00:00:00","https://techcrunch.com/2021/10/04/yc-grads-wasp-land-1-5m-seed-to-help-developers-build-web-apps-faster/"
"491","WayScript","https://github.com/wayscript","Seed","5.00","2020","8","Greycroft","0","1","wayscript","2020-08-01 00:00:00","https://wayscript.com/learn/wayscript-raises-$5m-seed-round"
"492","Weaveworks","https://github.com/kubernetes/kubernetes","C","36.00","2020","12","AWS","1","1","kubernetes/kubernetes","2020-12-01 00:00:00","https://www.weave.works/press/releases/weaveworks-raises-36-million-series-c/"
"493","Webiny","https://github.com/webiny/webiny-js","Seed","3.50","2021","8","M12","1","1","webiny/webiny-js","2021-08-01 00:00:00","https://www.webiny.com/blog/webiny-raises-3-5M-in-seed-round-led-by-microsoft"
"494","Wire","Wire","B","21.00","2021","4","Uvc","0","0","","2021-04-01 00:00:00","https://wire.com/en/blog/wire-closes-21-million-series-b-funding/"
"495","WorkOS","https://github.com/modulz","B","80.00","2022","6","Greenoaks Capital","0","1","modulz","2022-06-01 00:00:00","https://workos.com/blog/series-b"
"496","WSO2","https://github.com/wso2","E","93.00","2022","5","Goldman Sachs","0","1","wso2","2022-05-01 00:00:00","https://wso2.com/about/news/wso2-completes-93-million-growth-funding/"
"497","Yugabyte","https://github.com/yugabyte/yugabyte-db","C","188.00","2021","10","Sapphire Ventures","1","1","yugabyte/yugabyte-db","2021-10-01 00:00:00","https://blog.yugabyte.com/yugabyte-raises-188-million-series-c-to-make-distributed-sql-ubiquitous/"
"498","Yugabyte","https://github.com/yugabyte/yugabyte-db","B","48.00","2021","3","Lightspeed","1","1","yugabyte/yugabyte-db","2021-03-01 00:00:00","https://blog.yugabyte.com/yugabyte-secures-48m-in-funding/"
"499","Yugabyte","https://github.com/yugabyte/yugabyte-db","C","30.00","2020","6","8VC","1","1","yugabyte/yugabyte-db","2020-06-01 00:00:00","https://blog.yugabyte.com/yugabyte-raises-30-million-series-b/"
"500","ZEDEDA","EVE","A","12.50","2021","3","Rockwell Automation","0","0","","2021-03-01 00:00:00","https://venturebeat.com/2021/03/31/edge-computing-orchestration-startup-zededa-raises-12-5m/"
"501","Zededa","https://github.com/lf-edge/eve","B","26.00","2022","7","Coast Range Capital","1","1","lf-edge/eve","2022-07-01 00:00:00","https://zededa.com/blog/cheers-to-a-bright-and-new-chapter-as-we-power-the-next-era-of-computing/"
"502","ZenML","https://github.com/zenml-io/zenml","Seed","2.70","2021","12","Crane Venture Partners","1","1","zenml-io/zenml","2021-12-01 00:00:00","https://blog.zenml.io/why-zenml/"
"503","ZeroTier","https://github.com/zerotier/ZeroTierOne","Seed","2.00","2021","2","Anorak, Bonfire","1","1","zerotier/ZeroTierOne","2021-02-01 00:00:00","https://www.zerotier.com/2021/02/17/zerotier-raises-2m-for-a-radically-simple-approach-to-networking/"
"504","Zilliz","https://github.com/milvus-io/milvus","B","60.00","2022","8","Prosperity7 Ventures","1","1","milvus-io/milvus","2022-08-01 00:00:00","https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/"
"505","Zilliz","https://github.com/milvus-io/milvus","B","43.00","2020","11","Hillhouse Capital","1","1","milvus-io/milvus","2020-11-01 00:00:00","https://zilliz.com/news/zilliz-raises-$43M-in-series-B-funding-to-build-AI-powered-unstructured-data-analytics"
"506","Zitadel","https://github.com/zitadel/zitadel","Seed","2.50","2022","6","Nexus Venture Partners","1","1","zitadel/zitadel","2022-06-01 00:00:00","https://zitadel.com/blog/fundraising-nexus"
