"id","company","repository","stage","round_size","year","month","lead_investor","has_repo","has_github","github_name","date","link"
"335","QuestDB","https://github.com/questdb/questdb","Seed","2.30","2020","7","Episode 1","1","1","questdb/questdb","2020-07-01 00:00:00","https://techcrunch.com/2020/07/02/questdb-nabs-2-3m-seed-to-build-open-source-time-series-database/"
"336","QuestDB","https://github.com/questdb/questdb","A","12.00","2021","11","468 Capital","1","1","questdb/questdb","2021-11-01 00:00:00","https://techcrunch.com/2021/11/03/questdb-snares-12m-series-a-with-hosted-version-on-the-horizon/"
"337","Quickwit","https://github.com/quickwit-oss/quickwit","Seed","2.60","2022","3","FirstMark, firstminute","1","1","quickwit-oss/quickwit","2022-03-01 00:00:00","https://quickwit.io/blog/seed-funding"
"338","r2c","https://github.com/returntocorp/semgrep","B","27.00","2021","7","Felicis","1","1","returntocorp/semgrep","2021-07-01 00:00:00","https://r2c.dev/blog/2021/r2c-series-b-funding/"
"339","Rasa","https://github.com/RasaHQ/rasa","B","26.00","2020","6","Andreessen Horowitz","1","1","RasaHQ/rasa","2020-06-01 00:00:00","https://blog.rasa.com/our-next-phase-of-product-and-community-growth/"
"340","Raspberry Pi","Raspberry Pi","Growth","45.00","2021","9","Ezrah Charitable Trust","0","0","","2021-09-01 00:00:00","https://www.telegraph.co.uk./technology/2021/09/20/raspberry-pi-attracts-45m-lockdowns-fuel-demand-personal-computers/"
"341","ReadySet","https://github.com/readysettech/readyset","A","24.00","2022","4","Index Ventures","1","1","readysettech/readyset","2022-04-01 00:00:00","https://readyset.io/blog/introducing-readyset"
"342","ReadySet","https://github.com/readysettech/readyset","Seed","4.90","2021","2","Amplify Partners","1","1","readysettech/readyset","2021-02-01 00:00:00","https://techcrunch.com/2022/04/05/readyset-raises-29m-to-expedite-access-to-enterprise-scale-app-data/"
"343","Redis Labs","https://github.com/redis/redis","G","310.00","2021","4","Tiger Global","1","1","redis/redis","2021-04-01 00:00:00","https://redislabs.com/press/redis-labs-110-million-series-g-led-by-tiger-global/"
"344","Redis Labs","https://github.com/redis/redis","F","100.00","2020","8","Bain Capital Ventures","1","1","redis/redis","2020-08-01 00:00:00","https://redislabs.com/press/redis-labs-raises-100-million-series-f-financing/"
"345","Redpanda Data","https://github.com/redpanda-data/redpanda","A","15.00","2021","1","Lightspeed","1","1","redpanda-data/redpanda","2021-01-01 00:00:00","https://vectorized.io/blog/intelligent-data-api/"
"346","Redpanda Data","https://github.com/redpanda-data/redpanda","B","50.00","2022","2","GV","1","1","redpanda-data/redpanda","2022-02-01 00:00:00","https://redpanda.com/blog/redpanda-series-b-funding-future-of-streaming-data/"
"347","Remix","https://github.com/remix-run","Seed","3.00","2021","10","OSS Capital","0","1","remix-run","2021-10-01 00:00:00","https://remix.run/blog/seed-funding-for-remix"
"348","Replicated","https://github.com/kubernetes/kubernetes","B","25.00","2020","10","Two Sigma Ventures","1","1","kubernetes/kubernetes","2020-10-01 00:00:00","https://www.replicated.com/blog/25m-series-b-to-modernize-on-prem-software/"
"349","Replicated","https://github.com/kubernetes/kubernetes","C","50.00","2021","8","Owl Rock Capital","1","1","kubernetes/kubernetes","2021-08-01 00:00:00","https://www.replicated.com/blog/series-c-announcement"
"350","Replit","https://github.com/replit","B","80.00","2021","12","Coatue","0","1","replit","2021-12-01 00:00:00","https://blog.replit.com/b"
"351","Replit","https://github.com/replit","A","20.00","2021","2","A Capital","0","1","replit","2021-02-01 00:00:00","https://blog.repl.it/seriesa"
"352","Ridge","https://github.com/kubernetes/kubernetes","A","22.00","2022","1","NFX","1","1","kubernetes/kubernetes","2022-01-01 00:00:00","https://www.itprotoday.com/cloud-computing-and-edge-computing/ridge-raises-22m-global-cloud-services-platform"
